Service,Relational Database Service($),EC2-Instances($),Registrar($),EC2-Other($),Route 53($),S3($),CloudFront($),API Gateway($),Lambda($),SNS($),Budgets($),Elemental MediaStore($),Key Management Service($),Secrets Manager($),DynamoDB($),CloudWatch($),Tax($),SQS($),Total cost ($)
Service Total,48.8654913401,45.62176477450001,23.0,10.302678371699997,4.069174799999999,0.0044525159,0.0020697591999999996,0.000057351099999999994,0.000016931099999999998,3.6e-9,0,0.0,0,0.0,0,0,0.0,0,131.86570584720002
2020-03-28,,,,,0.00021040000000000002,0.0021815195,0.0001663255,0.0000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.002559245
2020-03-29,,0.161,,0.0078113409,1.0007192,0.0000660989,0.0004276152,,,,0.0,,0.0,,0.0,0.0,,,1.170024255
2020-03-30,,2.5321734318,,0.4733143334,0.0022816,0.0003142989,0.0004943386,,,,0.0,,0.0,,0.0,0.0,,,3.0085780027
2020-03-31,2.7225925299,7.203341648500001,,1.6029137561000002,0.5061211999999999,0.0001436989,0.0002293189,,,,0.0,,0.0,,0.0,0.0,,,12.0353421523
2020-04-01,2.8986238488,4.1892656849000005,23.0,0.5280612806999999,2.5063152,0.0001511723,0.000013622900000000001,,,,0.0,,,,0.0,0.0,0.0,,33.1224308096
2020-04-02,2.8999164613999997,2.66869924,,0.5273698499,0.0040003999999999994,0.0005857155000000001,0.0000732717,,,0.0000000036,0.0,,0.0,,0.0,0.0,,,6.1006449421
2020-04-03,2.8989312,2.0989129276000003,,0.5273417670999999,0.003994,0.0001465155,0.0000451356,,,,0.0,,,,0.0,0.0,,,5.5293715458
2020-04-04,2.8984696,2.0954895258,,0.5273409899,0.0036907999999999997,0.000370227,0.00007174549999999999,,0.0,,0.0,,0.0,,0.0,0.0,,,5.5254328882
2020-04-05,2.8994852,2.0773235854,,0.5272627919,0.0036216,0.0000733154,0.000080205,0.0000210956,0.0,,0.0,,0.0,,0.0,0.0,,,5.5078677933
2020-04-06,2.8986406,2.0704929648,,0.5272289442,0.0024744000000000003,0.0000417154,0.0000225249,0.0000177057,0.0000157048,,0.0,,0.0,,0.0,0.0,,,5.4989345598
2020-04-07,2.8990332,2.070311125,,0.5272560886,0.006034800000000001,0.0000783154,0.0001325723,0.0000035095,0.0000012263,0.0,0.0,,0.0,,0.0,0.0,,0.0,5.5028508371
2020-04-08,2.8991502000000002,2.0841879682,,0.5275156958,0.002508,0.0000487154,0.0001008722,0.0000035091,,,0.0,,,,0.0,0.0,,0.0,5.5135149607
2020-04-09,2.8990055999999997,2.0673936131,,0.5272524154,0.0029476000000000003,0.0000341154,0.0000649241,0.000003513,0.0,,,,,,0.0,0.0,,0.0,5.496701781
2020-04-10,2.8991576,2.0666683378,,0.5272230078,0.0030328,0.000019715399999999998,0.0000103564,0.0000035091,,,0.0,,,,0.0,0.0,,0.0,5.4961153265
2020-04-11,2.8990424,2.0680428125,,0.5272380318,0.0034564,0.0000413154,0.0000083689,0.0000035091,,,0.0,,,,0.0,0.0,,0.0,5.4978328377
2020-04-12,2.8992114,2.0683553629,,0.5272321393999999,0.003804,0.0000197154,0.0000088179,,,,0.0,,,,0.0,0.0,,0.0,5.4986314356
2020-04-13,2.8990536,2.0660207258,,0.5272225926999999,0.0028772,0.0000145154,0.000015103599999999999,,,,0.0,,,,0.0,0.0,,0.0,5.4952037375
2020-04-14,2.899113,2.0669331148,,0.5272553735,0.0030764,0.0000297154,0.0000822687,,,,0.0,,,,0.0,0.0,,0.0,5.4964898724
2020-04-15,2.8988402,2.0687176241,,0.5273596906,0.0038444,0.0000793154,0.000012163,,,,0.0,,,,0.0,0.0,,0.0,5.4988533931
2020-04-16,2.6572247,1.8984350815,,0.308478282,0.0041643999999999995,0.0000128,0.0000102083,,,,,,0.0,,0.0,0.0,,0.0,4.8683254718
